id,archetype,age,gender,location,urban_rural,education,income_band,trust_govt,trust_media,trust_academia,trust_local,trust_social_media,trust_influencers,trust_religious_leaders,youtube_usage,whatsapp_usage,newspaper_usage,tv_news_usage,regional_media_exposure,english_media_exposure,political_interest,economic_optimism,traditionalism
36,Small Business Owner,40,Male,"Belgaum, Karnataka",Semi-Urban,Higher Secondary,₹2.5L-5L,4,6,4,8,5,4,5,5,7,5,6,6,3,6,6,6
37,Startup Founder,33,Female,"Noida, Uttar Pradesh",Urban,Postgraduate,₹10L-20L,4,4,7,6,7,6,3,8,7,5,4,3,10,5,9,3
38,Regional Language Aspirant,18,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Graduate,₹5L-10L,6,5,8,7,6,4,6,6,7,7,6,9,3,8,6,7
39,Homemaker,47,Female,"Pune, Maharashtra",Urban,Graduate,₹2.5L-5L,5,5,5,8,6,5,7,5,9,4,7,7,3,4,5,7
40,Small Business Owner,34,Female,"Kolkata, West Bengal",Urban,Secondary,₹10L-20L,5,5,4,8,5,4,6,6,9,5,7,7,4,5,6,5
41,Small Business Owner,46,Male,"Coimbatore, Tamil Nadu",Urban,Undergraduate,₹10L-20L,5,6,4,8,6,4,6,6,8,7,6,7,4,6,5,6
42,Regional Language Aspirant,28,Male,"Nellore, Andhra Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,8,6,5,4,6,7,7,8,6,8,3,8,6,7
43,Urban Student,16,Other,"Kolkata, West Bengal",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,7,4,10,7,3,3,3,9,4,8,2
44,Regional Language Aspirant,31,Male,"Ratnagiri district, Maharashtra",Rural,Undergraduate,₹5L-10L,5,5,8,7,5,3,6,6,7,7,6,9,2,8,5,7
45,Urban Student,22,Male,"Thiruvananthapuram, Kerala",Urban,Postgraduate,Below ₹2.5L,5,5,8,6,7,6,3,8,8,3,3,4,9,5,7,3
46,Urban Student,17,Male,"Kolkata, West Bengal",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,8,4,10,7,3,3,4,9,3,7,3
47,Urban Student,23,Male,"Thiruvananthapuram, Kerala",Urban,Higher Secondary,₹2.5L-5L,5,5,7,6,7,7,4,9,8,4,3,4,9,5,7,3
48,Regional Language Aspirant,19,Male,"Bhagalpur rural, Bihar",Rural,Undergraduate,₹2.5L-5L,5,5,8,7,5,4,6,5,7,8,5,9,3,8,5,7
49,Homemaker,35,Female,"Jaipur, Rajasthan",Urban,Higher Secondary,₹2.5L-5L,5,5,4,8,5,5,6,5,8,4,8,8,4,5,5,7
50,Urban Student,18,Male,"Kochi, Kerala",Urban,Undergraduate,Below ₹2.5L,4,6,8,6,7,7,4,9,7,3,4,4,10,4,7,2
51,Homemaker,62,Female,"Village near Varanasi, Uttar Pradesh",Rural,Undergraduate,₹2.5L-5L,5,5,4,7,6,6,7,5,10,4,7,7,4,5,5,7
52,Startup Founder,25,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,Above ₹50L,4,4,6,5,7,6,3,7,6,5,4,3,10,6,9,3
53,Startup Founder,26,Female,"Pune, Maharashtra",Urban,Postgraduate,₹20L-50L,4,4,5,5,6,7,3,7,7,4,4,3,9,5,9,3
54,Retired Government Officer,64,Female,"Visakhapatnam, Andhra Pradesh",Urban,Postgraduate,₹10L-20L,8,6,7,6,3,2,7,3,5,9,8,6,7,7,6,7
55,Retired Government Officer,68,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Postgraduate,₹5L-10L,8,7,8,7,3,3,6,3,5,8,7,6,7,8,6,7
56,Rural Farmer,55,Male,"Warangal rural, Telangana",Rural,Higher Secondary,Below ₹2.5L,5,4,3,8,4,3,8,4,6,4,6,9,2,6,5,7
57,Homemaker,65,Female,"Sitamarhi district, Bihar",Rural,Secondary,Below ₹2.5L,5,4,4,8,6,5,7,5,9,4,7,7,3,4,5,7
58,Small Business Owner,45,Female,"Kolhapur, Maharashtra",Semi-Urban,Secondary,₹2.5L-5L,5,6,4,8,5,4,6,6,8,6,6,7,4,5,6,6
59,Small Business Owner,48,Male,Delhi,Urban,Undergraduate,₹2.5L-5L,5,6,4,8,5,4,6,5,8,5,6,7,4,5,6,6
60,Retired Government Officer,67,Male,"Siliguri, West Bengal",Semi-Urban,Graduate,₹20L-50L,8,6,7,7,3,3,7,3,5,8,8,6,7,8,6,8
61,Small Business Owner,34,Male,"Bilaspur, Chhattisgarh",Semi-Urban,Graduate,₹2.5L-5L,4,6,3,8,4,4,6,5,8,6,6,7,4,5,6,6
62,Retired Government Officer,67,Female,"Bilaspur, Chhattisgarh",Semi-Urban,Postgraduate,₹20L-50L,8,5,7,7,3,1,7,2,5,8,8,6,7,8,5,7
63,Startup Founder,44,Female,"Pune, Maharashtra",Urban,Postgraduate,₹20L-50L,5,4,6,5,7,6,3,7,7,5,4,3,10,4,9,3
64,Startup Founder,31,Male,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,5,4,6,5,7,7,3,8,7,5,3,2,10,5,9,3
65,Urban Student,21,Female,"Noida, Uttar Pradesh",Urban,Higher Secondary,₹2.5L-5L,5,5,8,6,8,7,4,10,8,3,3,4,9,5,8,3
66,Urban Student,16,Male,"Bangalore, Karnataka",Urban,Postgraduate,Below ₹2.5L,5,5,8,6,7,7,4,9,7,3,4,4,9,5,7,4
67,Corporate Employee,38,Male,"Hyderabad, Telangana",Urban,Postgraduate,₹10L-20L,5,5,6,5,6,5,4,6,7,5,5,5,8,5,6,5
68,Urban Student,22,Female,"Guwahati, Assam",Urban,Undergraduate,₹2.5L-5L,5,5,8,7,7,7,3,9,6,3,3,4,9,5,6,2
69,Regional Language Aspirant,21,Male,"Hubli, Karnataka",Semi-Urban,Graduate,₹2.5L-5L,5,5,7,7,5,4,6,6,7,8,6,9,4,9,6,7
70,Urban Student,21,Male,"Thiruvananthapuram, Kerala",Urban,Higher Secondary,₹2.5L-5L,5,5,8,7,7,7,3,9,8,2,3,4,8,4,7,4
71,Homemaker,54,Female,"Bhagalpur rural, Bihar",Rural,Undergraduate,₹2.5L-5L,5,5,4,9,6,5,7,4,9,4,7,7,5,4,5,7
72,Startup Founder,42,Male,"Bangalore, Karnataka",Urban,Postgraduate,Above ₹50L,5,4,7,5,7,6,3,7,7,6,3,3,9,5,9,4
73,Small Business Owner,59,Female,"Bhubaneswar, Odisha",Urban,Undergraduate,₹5L-10L,5,5,4,8,5,4,5,4,7,6,6,7,4,7,6,6
74,Small Business Owner,50,Male,"Rajahmundry, Andhra Pradesh",Semi-Urban,Higher Secondary,₹10L-20L,5,5,3,8,4,4,6,5,8,5,6,7,4,6,6,5
75,Regional Language Aspirant,19,Male,"Murshidabad district, West Bengal",Rural,Graduate,Below ₹2.5L,5,5,8,6,5,4,6,6,7,7,5,10,3,8,6,7
76,Corporate Employee,47,Male,"Chennai, Tamil Nadu",Urban,Graduate,₹5L-10L,5,4,6,6,6,5,5,6,7,4,5,5,9,5,6,6
77,Small Business Owner,32,Female,Chandigarh,Urban,Graduate,₹2.5L-5L,6,5,5,8,5,4,6,4,8,7,6,7,3,5,5,7
78,Startup Founder,38,Male,Delhi,Urban,Graduate,Above ₹50L,4,4,6,5,8,6,3,7,7,6,4,2,9,4,9,3
79,Regional Language Aspirant,21,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Graduate,₹5L-10L,5,4,8,8,5,4,6,6,7,7,6,8,3,8,5,7
80,Regional Language Aspirant,20,Male,"Sangli district, Maharashtra",Rural,Graduate,₹2.5L-5L,5,5,8,7,5,4,6,5,7,7,6,9,3,7,5,7
81,Urban Student,16,Female,"Hyderabad, Telangana",Urban,Undergraduate,Below ₹2.5L,5,6,8,6,8,7,4,9,7,3,3,4,9,4,7,4
82,Regional Language Aspirant,20,Female,"Kolhapur, Maharashtra",Semi-Urban,Postgraduate,₹2.5L-5L,6,5,7,7,5,4,6,6,7,7,6,9,4,8,5,7
83,Retired Government Officer,71,Male,"Patna, Bihar",Urban,Graduate,₹20L-50L,8,7,6,6,2,3,6,2,5,7,9,5,6,8,7,7
84,Regional Language Aspirant,26,Male,"Bilaspur, Chhattisgarh",Semi-Urban,Postgraduate,₹2.5L-5L,5,5,8,7,5,3,6,6,7,8,6,9,3,9,6,7
85,Corporate Employee,32,Female,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,5,5,6,4,6,6,4,7,7,5,5,4,8,5,6,5
86,Corporate Employee,48,Female,"Pune, Maharashtra",Urban,Graduate,₹20L-50L,5,5,6,5,6,5,5,6,7,5,5,5,8,5,7,5
87,Corporate Employee,47,Male,"Bhubaneswar, Odisha",Urban,Graduate,₹5L-10L,6,5,6,5,6,5,4,6,7,5,5,6,8,5,6,5
88,Homemaker,50,Female,"Kolar district, Karnataka",Rural,Undergraduate,Below ₹2.5L,5,4,4,8,7,5,8,5,8,5,7,7,4,3,5,7
89,Regional Language Aspirant,31,Female,"Bikaner rural, Rajasthan",Rural,Undergraduate,₹5L-10L,4,5,9,6,5,3,6,5,7,7,6,9,3,8,4,7
90,Homemaker,42,Female,"Kannur rural, Kerala",Rural,Graduate,₹2.5L-5L,5,5,4,9,6,5,7,6,9,4,7,6,4,4,5,7
91,Startup Founder,35,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,₹10L-20L,4,4,6,5,7,7,3,7,7,5,5,4,9,5,9,4
92,Small Business Owner,44,Female,"Lucknow, Uttar Pradesh",Urban,Secondary,₹2.5L-5L,5,4,4,8,5,4,6,5,8,5,5,7,4,5,6,6
93,Regional Language Aspirant,24,Female,"Sundargarh district, Odisha",Rural,Postgraduate,Below ₹2.5L,5,6,8,7,5,4,6,6,7,8,7,9,3,8,5,7
94,Regional Language Aspirant,21,Male,"Mehsana district, Gujarat",Rural,Postgraduate,Below ₹2.5L,5,4,8,8,5,4,5,6,7,7,6,9,4,8,4,7
95,Retired Government Officer,65,Male,"Vadodara, Gujarat",Urban,Postgraduate,₹20L-50L,8,6,7,8,3,2,6,3,6,8,8,6,6,8,6,7
96,Small Business Owner,51,Male,"Surat, Gujarat",Urban,Undergraduate,₹2.5L-5L,6,6,3,8,4,5,6,5,8,6,7,7,3,5,6,6
97,Urban Student,16,Male,"Bhubaneswar, Odisha",Urban,Undergraduate,Below ₹2.5L,6,4,8,6,7,7,4,9,7,3,3,4,9,5,7,3
98,Startup Founder,37,Female,"Pune, Maharashtra",Urban,Postgraduate,₹20L-50L,4,4,6,4,7,5,3,8,7,6,4,3,9,4,9,3
99,Homemaker,28,Female,"Thiruvananthapuram, Kerala",Urban,Higher Secondary,Below ₹2.5L,5,5,4,8,5,5,7,5,9,4,6,7,3,5,5,8
100,Rural Farmer,49,Female,"Ratnagiri district, Maharashtra",Rural,Secondary,Below ₹2.5L,5,3,3,8,4,3,7,4,6,4,6,9,2,6,5,8
101,Regional Language Aspirant,23,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Graduate,₹5L-10L,5,5,8,7,5,3,6,7,8,7,5,9,4,9,4,7
102,Regional Language Aspirant,25,Male,"Rohtak, Haryana",Semi-Urban,Postgraduate,Below ₹2.5L,5,5,8,8,5,4,6,6,7,7,6,9,3,8,5,7
103,Retired Government Officer,72,Female,"Guntur, Andhra Pradesh",Semi-Urban,Postgraduate,₹10L-20L,8,6,7,7,4,2,6,3,4,9,8,7,7,8,6,8
104,Retired Government Officer,62,Male,"Surat, Gujarat",Urban,Graduate,₹10L-20L,8,6,7,8,4,2,7,3,5,8,8,6,7,8,6,7
105,Urban Student,17,Female,"Visakhapatnam, Andhra Pradesh",Urban,Higher Secondary,₹2.5L-5L,5,5,8,6,6,7,2,9,8,3,3,4,8,5,8,3
106,Urban Student,21,Male,"Pune, Maharashtra",Urban,Higher Secondary,₹2.5L-5L,5,6,8,6,7,7,3,9,6,3,4,4,9,3,7,3
107,Retired Government Officer,78,Female,"Jamshedpur, Jharkhand",Semi-Urban,Postgraduate,₹10L-20L,7,6,6,7,3,1,6,4,5,8,8,6,7,8,6,7
108,Corporate Employee,42,Male,"Chennai, Tamil Nadu",Urban,Graduate,₹5L-10L,5,5,6,5,7,6,4,7,6,5,4,5,7,5,6,5
109,Rural Farmer,52,Male,"Anantapur district, Andhra Pradesh",Rural,Illiterate,Below ₹2.5L,5,4,3,8,4,3,7,4,6,4,6,9,2,6,5,8
110,Urban Student,18,Other,"Patna, Bihar",Urban,Postgraduate,Below ₹2.5L,4,5,8,7,7,7,4,9,7,3,3,3,9,4,7,3
111,Corporate Employee,41,Other,"Indore, Madhya Pradesh",Urban,Graduate,₹20L-50L,5,5,5,4,7,5,5,6,7,5,4,5,8,5,7,5
112,Retired Government Officer,66,Female,"Ahmedabad, Gujarat",Urban,Doctorate,₹5L-10L,8,6,8,7,3,1,7,4,6,8,8,6,7,8,6,7
113,Urban Student,18,Female,"Bhubaneswar, Odisha",Urban,Undergraduate,₹2.5L-5L,5,5,9,6,7,7,4,9,8,3,3,4,9,5,7,3
114,Rural Farmer,65,Female,"Hoshiarpur district, Punjab",Rural,Illiterate,Below ₹2.5L,6,4,3,8,4,3,8,4,6,3,6,8,3,5,5,8
115,Urban Student,22,Male,"Lucknow, Uttar Pradesh",Urban,Higher Secondary,Below ₹2.5L,5,4,8,5,7,7,3,10,6,3,3,4,9,5,7,3
116,Small Business Owner,57,Female,"Bhopal, Madhya Pradesh",Urban,Secondary,₹10L-20L,5,5,4,8,5,4,6,5,8,5,6,7,4,6,6,5
117,Regional Language Aspirant,32,Male,"Bastar district, Chhattisgarh",Rural,Graduate,₹5L-10L,5,6,8,7,5,4,6,7,7,7,6,8,3,8,6,7
118,Startup Founder,26,Male,"Chennai, Tamil Nadu",Urban,Graduate,Above ₹50L,4,4,6,5,7,5,3,8,7,5,4,3,9,4,8,3
119,Corporate Employee,44,Male,"Ahmedabad, Gujarat",Urban,Postgraduate,₹20L-50L,5,5,5,5,6,5,4,7,7,5,4,5,8,5,6,5
120,Rural Farmer,48,Male,"Mehsana district, Gujarat",Rural,Higher Secondary,Below ₹2.5L,6,4,3,8,4,4,8,4,6,4,6,9,2,6,5,8
121,Urban Student,24,Male,"Indore, Madhya Pradesh",Urban,Higher Secondary,₹5L-10L,5,4,7,6,6,7,4,9,7,3,3,4,9,4,7,3
122,Urban Student,18,Male,"Lucknow, Uttar Pradesh",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,7,3,9,8,4,3,4,9,4,6,3
123,Urban Student,24,Female,"Thiruvananthapuram, Kerala",Urban,Higher Secondary,₹2.5L-5L,5,6,7,6,7,7,4,8,7,3,3,4,9,3,7,3
124,Retired Government Officer,68,Male,"Vadodara, Gujarat",Urban,Graduate,₹10L-20L,7,6,7,7,2,2,7,3,5,7,8,7,7,8,6,6
125,Urban Student,22,Male,"Bhopal, Madhya Pradesh",Urban,Undergraduate,₹2.5L-5L,5,6,8,6,8,6,3,9,7,3,2,4,9,5,6,3
126,Regional Language Aspirant,18,Male,"Thanjavur rural, Tamil Nadu",Rural,Undergraduate,₹2.5L-5L,5,4,8,7,5,4,6,6,7,8,6,9,3,8,5,7
127,Urban Student,23,Male,"Jaipur, Rajasthan",Urban,Higher Secondary,₹2.5L-5L,5,5,8,6,7,7,5,10,6,3,3,3,9,4,8,3
128,Homemaker,54,Female,"Nellore, Andhra Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,4,8,6,5,6,5,10,4,7,7,4,4,5,7
129,Retired Government Officer,69,Male,"Madurai, Tamil Nadu",Semi-Urban,Graduate,₹10L-20L,8,6,6,7,3,2,7,3,5,8,7,7,7,7,6,7
130,Regional Language Aspirant,19,Male,"Bikaner rural, Rajasthan",Rural,Postgraduate,Below ₹2.5L,5,4,7,7,5,4,6,5,7,6,6,8,3,8,6,7
131,Homemaker,56,Male,"Kochi, Kerala",Urban,Higher Secondary,Below ₹2.5L,5,5,4,8,5,5,6,4,9,4,7,7,2,5,5,7
132,Startup Founder,37,Male,"Bangalore, Karnataka",Urban,Postgraduate,₹10L-20L,4,4,6,5,7,6,3,7,7,5,4,3,9,5,9,2
133,Startup Founder,30,Female,Delhi,Urban,Graduate,₹20L-50L,5,4,7,5,7,6,4,7,7,4,4,3,10,5,9,3
134,Homemaker,61,Female,"Coimbatore, Tamil Nadu",Urban,Secondary,Below ₹2.5L,4,6,4,7,7,5,7,5,9,4,7,8,3,5,5,7
135,Regional Language Aspirant,27,Female,"Rohtak, Haryana",Semi-Urban,Graduate,Below ₹2.5L,5,5,8,7,5,4,6,6,8,6,6,9,4,7,5,7
136,Rural Farmer,61,Male,"Sitamarhi district, Bihar",Rural,Secondary,Below ₹2.5L,5,4,4,8,4,3,9,4,6,3,6,10,2,6,5,8
137,Startup Founder,37,Male,"Hyderabad, Telangana",Urban,Graduate,₹20L-50L,4,4,6,5,7,6,3,7,6,5,4,3,10,5,9,4
138,Regional Language Aspirant,34,Male,"Sundargarh district, Odisha",Rural,Graduate,₹5L-10L,5,5,8,7,5,4,6,6,7,7,6,9,3,8,5,7
139,Small Business Owner,56,Female,"Bangalore, Karnataka",Urban,Secondary,₹10L-20L,5,5,4,7,6,4,6,5,8,6,6,7,3,6,6,6
140,Homemaker,33,Female,"Pune, Maharashtra",Urban,Higher Secondary,₹5L-10L,6,5,4,7,6,6,7,5,9,4,7,7,4,4,5,7
141,Homemaker,33,Female,"Kolar district, Karnataka",Rural,Higher Secondary,Below ₹2.5L,6,5,4,8,7,5,7,5,9,4,7,6,4,4,4,6
142,Retired Government Officer,76,Female,"Mumbai, Maharashtra",Urban,Graduate,₹5L-10L,8,6,7,7,3,1,7,3,5,8,8,7,7,8,7,7
143,Corporate Employee,34,Female,"Bhubaneswar, Odisha",Urban,Graduate,₹10L-20L,5,5,6,5,5,5,4,6,7,5,5,4,8,5,6,5
144,Startup Founder,41,Male,"Gurugram, Haryana",Urban,Graduate,₹10L-20L,4,4,7,5,7,6,3,6,7,4,5,3,10,5,9,3
145,Regional Language Aspirant,19,Male,"Bastar district, Chhattisgarh",Rural,Postgraduate,₹2.5L-5L,4,4,8,6,5,4,6,6,7,7,6,9,3,8,5,7
146,Urban Student,24,Male,"Indore, Madhya Pradesh",Urban,Undergraduate,Below ₹2.5L,6,5,8,6,7,7,2,9,8,3,3,5,9,4,6,4
147,Rural Farmer,54,Male,"Karimnagar district, Telangana",Rural,Primary,₹2.5L-5L,5,4,3,8,4,3,6,4,5,4,6,8,2,6,5,8
148,Corporate Employee,29,Male,"Ahmedabad, Gujarat",Urban,Postgraduate,₹20L-50L,5,5,5,6,6,6,4,6,7,5,5,4,7,4,6,5
149,Small Business Owner,53,Female,"Aligarh, Uttar Pradesh",Semi-Urban,Undergraduate,₹5L-10L,4,6,4,8,5,3,6,5,8,6,7,7,3,5,6,6
150,Urban Student,22,Female,"Chennai, Tamil Nadu",Urban,Higher Secondary,₹2.5L-5L,5,5,8,6,7,7,4,10,7,3,3,4,8,5,7,3
151,Urban Student,18,Male,Chandigarh,Urban,Undergraduate,₹2.5L-5L,5,6,8,6,7,6,4,9,7,2,3,4,9,4,8,3
152,Urban Student,18,Male,"Patna, Bihar",Urban,Undergraduate,Below ₹2.5L,5,5,7,5,7,7,3,9,8,3,3,4,9,3,7,3
153,Retired Government Officer,64,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,₹20L-50L,8,6,7,7,3,2,6,2,5,8,7,6,6,8,6,7
154,Rural Farmer,53,Female,"Thanjavur rural, Tamil Nadu",Rural,Primary,₹2.5L-5L,5,4,3,8,4,3,7,4,6,4,6,9,2,5,5,8
155,Retired Government Officer,73,Male,Chandigarh,Urban,Graduate,₹10L-20L,9,6,7,7,4,2,5,3,5,9,8,6,7,7,6,7
156,Rural Farmer,47,Male,"Dhar district, Madhya Pradesh",Rural,Primary,₹2.5L-5L,5,4,3,8,4,3,7,5,7,4,6,9,2,6,5,8
157,Small Business Owner,43,Male,"Hubli, Karnataka",Semi-Urban,Undergraduate,₹5L-10L,5,5,3,8,5,4,6,5,9,6,6,7,5,5,6,6
158,Corporate Employee,31,Male,"Bhopal, Madhya Pradesh",Urban,Postgraduate,₹20L-50L,5,5,7,6,6,5,5,5,7,5,5,5,7,5,6,5
159,Retired Government Officer,64,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Doctorate,₹10L-20L,9,6,7,7,3,2,8,4,5,8,7,6,7,7,7,7
160,Retired Government Officer,70,Female,"Jhansi, Uttar Pradesh",Semi-Urban,Doctorate,₹20L-50L,8,5,7,7,3,1,7,2,5,8,7,6,6,9,6,7
161,Urban Student,20,Female,"Bhubaneswar, Odisha",Urban,Postgraduate,Below ₹2.5L,4,5,8,5,6,7,3,9,7,3,3,5,9,4,8,3
162,Retired Government Officer,64,Male,Delhi,Urban,Graduate,₹10L-20L,8,6,7,7,4,1,8,3,5,8,7,6,7,8,7,6
163,Regional Language Aspirant,18,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,6,5,8,7,6,4,6,7,7,7,6,10,3,8,5,7
164,Homemaker,42,Female,"Bikaner rural, Rajasthan",Rural,Higher Secondary,₹10L-20L,5,5,4,8,6,5,6,4,8,4,8,7,4,6,4,8
165,Startup Founder,34,Male,Delhi,Urban,Postgraduate,₹20L-50L,4,4,6,5,7,7,3,6,7,4,5,3,9,6,10,2
166,Small Business Owner,57,Male,"Belgaum, Karnataka",Semi-Urban,Graduate,₹5L-10L,5,6,4,8,5,4,5,6,8,6,5,6,4,7,6,5
167,Startup Founder,40,Male,"Noida, Uttar Pradesh",Urban,Postgraduate,₹20L-50L,5,4,7,5,7,7,3,7,7,5,4,3,10,5,9,3
168,Startup Founder,27,Male,"Gurugram, Haryana",Urban,Graduate,Above ₹50L,4,4,6,5,8,6,3,7,7,5,4,3,9,5,8,3
169,Corporate Employee,33,Male,"Pune, Maharashtra",Urban,Graduate,₹10L-20L,5,5,5,5,6,5,5,6,7,5,6,4,9,5,5,5
